# format: notyas-goldens/1
# One line per (frame, panel). Written only by `cargo run -p uisim -- approve`,
# which refuses to write while any frame draws off its panel or any declared
# screen state is missing. A diff here IS the approval record.
# columns: frame  panel  sha256[..8]  ink=x,y,w,h  px=<ink pixels>  reg=<count>:<digest>
phrase/typed                       720x1280  65a764445779e6e0 ink=0,0,720,1256        px=320260   reg=33:e5f9465f
phrase/typed                       800x480   3f0218c11faa211c ink=0,0,800,454         px=204680   reg=33:f09aa588
phrase/typed                       800x1280  d603a69b8ba515e4 ink=0,0,800,1254        px=358312   reg=33:ca162f79
phrase/typed                       1024x600  cbe9854b51847b56 ink=0,0,1024,568        px=357640   reg=33:f41ea09f
pin-create/mismatch                720x720   5697b66a07d52097 ink=0,0,720,590         px=213550   reg=13:a8bd0263
pin-create/mismatch                720x1280  5473eed4f43f7b5c ink=0,0,720,598         px=219310   reg=13:9c65af60
pin-create/mismatch                800x480   672a506af4163dd0 ink=0,0,800,427         px=151650   reg=13:40f70db1
pin-create/mismatch                800x1280  9410d18ec8f217ec ink=0,0,800,652         px=261138   reg=13:30d1603e
pin-create/mismatch                1024x600  d1e0e2128dd035f3 ink=0,0,1024,432        px=168034   reg=13:3b1baa9c
pin-create/not-provisioned         720x720   586957be03dc1567 ink=0,0,720,598         px=199954   reg=13:a8bd0263
pin-create/not-provisioned         720x1280  f8e10bdc19485c0a ink=0,0,720,606         px=205714   reg=13:9c65af60
pin-create/not-provisioned         800x480   3a5253f1610a7275 ink=0,0,800,427         px=138054   reg=13:40f70db1
pin-create/not-provisioned         800x1280  29657868071cd292 ink=0,0,800,652         px=247542   reg=13:30d1603e
pin-create/not-provisioned         1024x600  55f2dedbc51d48be ink=0,0,1024,432        px=154438   reg=13:3b1baa9c
pin-create/refused                 720x720   d44ba8ff5efea9be ink=0,0,720,590         px=213486   reg=13:a8bd0263
pin-create/refused                 720x1280  e926802c248751ec ink=0,0,720,598         px=219246   reg=13:9c65af60
pin-create/refused                 800x480   3c34a2b3292d5c87 ink=0,0,800,427         px=151586   reg=13:40f70db1
pin-create/refused                 800x1280  2a565c1cb2a7e482 ink=0,0,800,652         px=261074   reg=13:30d1603e
pin-create/refused                 1024x600  d3b0e3aaa359d2fb ink=0,0,1024,432        px=167970   reg=13:3b1baa9c
pin-create/step-1                  720x720   eb7a97a9fe4f73cf ink=0,0,720,598         px=214446   reg=13:a8bd0263
pin-create/step-1                  720x1280  06daf637b5140a28 ink=0,0,720,606         px=220206   reg=13:9c65af60
pin-create/step-1                  800x480   1f86c3d08784bc04 ink=0,0,800,427         px=152546   reg=13:40f70db1
pin-create/step-1                  800x1280  028f1f9f5673981a ink=0,0,800,652         px=262034   reg=13:30d1603e
pin-create/step-1                  1024x600  8ff474228d533aff ink=0,0,1024,432        px=168930   reg=13:3b1baa9c
pin-create/step-2                  720x720   24a88cdcd0493f2a ink=0,0,720,598         px=211170   reg=13:5401c90a
pin-create/step-2                  720x1280  d23b652ea2616dd9 ink=0,0,720,606         px=216930   reg=13:14afdb46
pin-create/step-2                  800x480   e9906dc38d8aaffc ink=0,0,800,427         px=149270   reg=13:d8996be0
pin-create/step-2                  800x1280  0811993088ba1abf ink=0,0,800,652         px=258758   reg=13:f48539a5
pin-create/step-2                  1024x600  52b5fe3903782253 ink=0,0,1024,432        px=165654   reg=13:2cd6f417
pin-create/typed                   720x720   f26e65cd2d90d599 ink=0,0,720,590         px=208195   reg=13:5401c90a
pin-create/typed                   720x1280  a1f66cf21a7ae490 ink=0,0,720,598         px=213955   reg=13:14afdb46
pin-create/typed                   800x480   567ef7e274ba2cfb ink=0,0,800,427         px=146295   reg=13:d8996be0
pin-create/typed                   800x1280  0875ed014707dbda ink=0,0,800,652         px=255783   reg=13:f48539a5
pin-create/typed                   1024x600  8d650f53817534a6 ink=0,0,1024,432        px=162679   reg=13:2cd6f417
pin/device-words                   720x720   d588460b5add72f3 ink=0,0,720,696         px=257294   reg=14:a9bf5680
pin/device-words                   720x1280  1532725538971e8f ink=0,0,720,736         px=282446   reg=14:f9d664ca
pin/device-words                   800x480   21b0893e2a0f6312 ink=0,0,800,427         px=189975   reg=14:4ca2f11d
pin/device-words                   800x1280  5052c741561b457f ink=0,0,800,791         px=333850   reg=14:f51f7fce
pin/device-words                   1024x600  269c1cfa8da2c1e5 ink=0,0,1024,432        px=232682   reg=14:60cf618b
pin/device-words-six-digits        720x720   d9e7a4c4e4a48d27 ink=0,0,720,696         px=257420   reg=14:a9bf5680
pin/device-words-six-digits        720x1280  7552dbf8e5da9e89 ink=0,0,720,736         px=282572   reg=14:f9d664ca
pin/device-words-six-digits        800x480   8b9f6cec2971dde2 ink=0,0,800,427         px=190101   reg=14:4ca2f11d
pin/device-words-six-digits        800x1280  556710df29e0a9b5 ink=0,0,800,791         px=333976   reg=14:f51f7fce
pin/device-words-six-digits        1024x600  b6cc56d04bee2f9f ink=0,0,1024,432        px=232808   reg=14:60cf618b
pin/fresh                          720x720   481c813fd4c1c071 ink=0,0,720,696         px=260395   reg=14:a9bf5680
pin/fresh                          720x1280  204b0282aee28ab4 ink=0,0,720,736         px=285547   reg=14:f9d664ca
pin/fresh                          800x480   5e8130e1a4f299e3 ink=0,0,800,427         px=193065   reg=14:4ca2f11d
pin/fresh                          800x1280  992185573ee3eb83 ink=0,0,800,791         px=336951   reg=14:f51f7fce
pin/fresh                          1024x600  d06979a58e2669d7 ink=0,0,1024,432        px=235783   reg=14:60cf618b
pin/last-attempt                   720x720   6ed86c2d6ecc2fb8 ink=0,0,720,696         px=266097   reg=14:a9bf5680
pin/last-attempt                   720x1280  0644c79a635b2529 ink=0,0,720,736         px=291249   reg=14:f9d664ca
pin/last-attempt                   800x480   24acbef6d9b374bb ink=0,0,800,427         px=198767   reg=14:4ca2f11d
pin/last-attempt                   800x1280  e003ac2c44c48002 ink=0,0,800,791         px=342653   reg=14:f51f7fce
pin/last-attempt                   1024x600  a8728ca89193642f ink=0,0,1024,432        px=241485   reg=14:60cf618b
pin/typed                          720x720   e8b65f4f30b2486c ink=0,0,720,696         px=257294   reg=14:a9bf5680
pin/typed                          720x1280  7d283e3181da7b2f ink=0,0,720,736         px=282446   reg=14:f9d664ca
pin/typed                          800x480   945734bb4a0c1fb2 ink=0,0,800,427         px=189964   reg=14:4ca2f11d
pin/typed                          800x1280  2978696e21feeda2 ink=0,0,800,791         px=333850   reg=14:f51f7fce
pin/typed                          1024x600  0267a34797072622 ink=0,0,1024,432        px=232682   reg=14:60cf618b
pin/wrong                          720x720   2ec7eeb63d0b4ee0 ink=0,0,720,696         px=266129   reg=14:a9bf5680
pin/wrong                          720x1280  4f1a5bf6254af99c ink=0,0,720,736         px=291281   reg=14:f9d664ca
pin/wrong                          800x480   edefffe962148293 ink=0,0,800,427         px=198799   reg=14:4ca2f11d
pin/wrong                          800x1280  bd319875452d20c7 ink=0,0,800,791         px=342685   reg=14:f51f7fce
pin/wrong                          1024x600  bf69e869040e5cc7 ink=0,0,1024,432        px=241517   reg=14:60cf618b
refusal/change-not-proven          720x720   9f3124c702a30fac ink=0,0,720,696         px=175217   reg=3:ed5beda0
refusal/change-not-proven          720x1280  afffa1386cf1e539 ink=0,0,720,1256        px=185105   reg=3:8fe9b761
refusal/change-not-proven          800x480   ff5f7e3dd9858e4c ink=0,0,800,454         px=156300   reg=3:ca099895
refusal/change-not-proven          800x1280  e45b022796ff8952 ink=0,0,800,1254        px=198217   reg=3:fb6dd0aa
refusal/change-not-proven          1024x600  79a50a2d007fa3bd ink=0,0,1024,568        px=200820   reg=3:40ada938
refusal/details                    720x720   0f4092b7350156cb ink=0,0,720,696         px=180994   reg=3:ed5beda0
refusal/details                    720x1280  ea83660a5ab481c5 ink=0,0,720,1256        px=200921   reg=3:8fe9b761
refusal/details                    800x480   c0670890edf11c96 ink=0,0,800,454         px=157700   reg=3:ca099895
refusal/details                    800x1280  116833a15e70dad4 ink=0,0,800,1254        px=214033   reg=3:fb6dd0aa
refusal/details                    1024x600  388b737ee48f64fa ink=0,0,1024,568        px=202143   reg=3:40ada938
refusal/missing-prevtx             720x720   a534b4857b4522f3 ink=0,0,720,696         px=180994   reg=3:ed5beda0
refusal/missing-prevtx             720x1280  89da228579e47618 ink=0,0,720,1256        px=194254   reg=3:8fe9b761
refusal/missing-prevtx             800x480   52ea741b467c4697 ink=0,0,800,454         px=157700   reg=3:ca099895
refusal/missing-prevtx             800x1280  3a764ddeb49cc7d1 ink=0,0,800,1254        px=207366   reg=3:fb6dd0aa
refusal/missing-prevtx             1024x600  23260ff0633761f1 ink=0,0,1024,568        px=202143   reg=3:40ada938
refusal/post-sign                  720x720   eda006477441a6e7 ink=0,0,720,696         px=182706   reg=3:17ade0e0
refusal/post-sign                  720x1280  f14cc6f9c0092739 ink=0,0,720,1256        px=198515   reg=3:10bae977
refusal/post-sign                  800x480   e86f3df5a83119ce ink=0,0,800,454         px=159493   reg=3:cdc8f0a4
refusal/post-sign                  800x1280  c315fcf904eaa9d9 ink=0,0,800,1254        px=211627   reg=3:bc537da8
refusal/post-sign                  1024x600  d1f9448eb8743ae4 ink=0,0,1024,568        px=205554   reg=3:343f7a0a
review-transaction/claimed-change  720x720   b1fa6d01511fff0f ink=0,0,720,696         px=173351   reg=3:919fa459
review-transaction/claimed-change  720x1280  dcc4eb76ee161350 ink=0,0,720,1256        px=182791   reg=3:060d37d6
review-transaction/claimed-change  800x480   f7eeac0e4b3ba967 ink=0,0,800,454         px=143746   reg=3:8387bb45
review-transaction/claimed-change  800x1280  15fa1dc10a4101bc ink=0,0,800,1254        px=195121   reg=3:9dad9217
review-transaction/claimed-change  1024x600  a3bb0e2c5af197d5 ink=0,0,1024,568        px=194424   reg=3:0a4f26b8
review-transaction/fee-enforced    720x720   12cb66e087ba73b2 ink=0,0,720,696         px=124047   reg=3:919fa459
review-transaction/fee-enforced    720x1280  e26a5071a56a30c6 ink=0,0,720,1256        px=133487   reg=3:060d37d6
review-transaction/fee-enforced    800x480   4f44a72e0f33a05f ink=0,0,800,454         px=105494   reg=3:8387bb45
review-transaction/fee-enforced    800x1280  3abedf068af6ec7f ink=0,0,800,1254        px=141143   reg=3:9dad9217
review-transaction/fee-enforced    1024x600  891ec9032873926e ink=0,0,1024,568        px=134191   reg=3:0a4f26b8
review-transaction/fee-stated      720x720   a2a3ea37db85a178 ink=0,0,720,696         px=264364   reg=3:919fa459
review-transaction/fee-stated      720x1280  34e65ed809ceb75a ink=0,0,720,1256        px=293686   reg=3:060d37d6
review-transaction/fee-stated      800x480   c74cfe5c0e3ff0d8 ink=0,0,800,454         px=255698   reg=3:8387bb45
review-transaction/fee-stated      800x1280  3a5186eea12e55b9 ink=0,0,800,1254        px=318822   reg=3:9dad9217
review-transaction/fee-stated      1024x600  4e994dfcfb5220c4 ink=0,0,1024,568        px=302997   reg=3:0a4f26b8
review-transaction/input-proven    720x720   d57a2f5d4e8ce07f ink=0,0,720,696         px=134055   reg=3:919fa459
review-transaction/input-proven    720x1280  b506ad99547b81e3 ink=0,0,720,1256        px=155095   reg=3:060d37d6
review-transaction/input-proven    800x480   aa3d8f9a57582063 ink=0,0,800,454         px=102518   reg=3:8387bb45
review-transaction/input-proven    800x1280  0d6416eed70a8e75 ink=0,0,800,1254        px=162390   reg=3:9dad9217
review-transaction/input-proven    1024x600  162607da0584f2b8 ink=0,0,1024,568        px=135917   reg=3:0a4f26b8
review-transaction/input-stated    720x720   43cd2e69d03be529 ink=0,0,720,696         px=271238   reg=3:919fa459
review-transaction/input-stated    720x1280  9e9c6dc5c5564c33 ink=0,0,720,1256        px=316206   reg=3:060d37d6
review-transaction/input-stated    800x480   0338c6d20801100b ink=0,0,800,454         px=230632   reg=3:8387bb45
review-transaction/input-stated    800x1280  ee96dbc129a821c2 ink=0,0,800,1254        px=309565   reg=3:9dad9217
review-transaction/input-stated    1024x600  b6670606078fdfd0 ink=0,0,1024,568        px=267372   reg=3:0a4f26b8
review-transaction/output-change   720x720   32978f0231f67bf0 ink=0,0,720,696         px=169723   reg=3:919fa459
review-transaction/output-change   720x1280  5528e716b150c52b ink=0,0,720,1256        px=179163   reg=3:060d37d6
review-transaction/output-change   800x480   889d91181bed350f ink=0,0,800,454         px=141703   reg=3:8387bb45
review-transaction/output-change   800x1280  18e2ccf6a65c66b9 ink=0,0,800,1254        px=191493   reg=3:9dad9217
review-transaction/output-change   1024x600  3fb6a090adab253e ink=0,0,1024,568        px=185028   reg=3:0a4f26b8
review-transaction/output-data     720x720   28c734e93c8206f4 ink=0,0,720,696         px=167200   reg=3:919fa459
review-transaction/output-data     720x1280  ed83e2928248e58f ink=0,0,720,1256        px=176640   reg=3:060d37d6
review-transaction/output-data     800x480   ef44ffdb7b912c4c ink=0,0,800,454         px=146019   reg=3:8387bb45
review-transaction/output-data     800x1280  47211e78a0a2c509 ink=0,0,800,1254        px=188970   reg=3:9dad9217
review-transaction/output-data     1024x600  ec9d59d73d2fe0c3 ink=0,0,1024,568        px=189849   reg=3:0a4f26b8
review-transaction/output-external 720x720   55eecb05c126af4d ink=0,0,720,696         px=164428   reg=3:919fa459
review-transaction/output-external 720x1280  ef39f7994ae39590 ink=0,0,720,1256        px=173868   reg=3:060d37d6
review-transaction/output-external 800x480   894aaf58dc6b6cf8 ink=0,0,800,454         px=144046   reg=3:8387bb45
review-transaction/output-external 800x1280  3847cc829d884664 ink=0,0,800,1254        px=186198   reg=3:9dad9217
review-transaction/output-external 1024x600  270659e53f0e9af1 ink=0,0,1024,568        px=192427   reg=3:0a4f26b8
review-transaction/overview        720x720   49dc4989b07ac4f4 ink=0,0,720,696         px=177591   reg=2:7fff1b10
review-transaction/overview        720x1280  92e0ea442144b877 ink=0,0,720,1256        px=203512   reg=2:09ed9299
review-transaction/overview        800x480   23b62cb72cee761b ink=0,0,800,454         px=163514   reg=2:823f8fa4
review-transaction/overview        800x1280  a437a1e0bc0f3699 ink=0,0,800,1254        px=218456   reg=2:e86098c8
review-transaction/overview        1024x600  6b9098d566c4d558 ink=0,0,1024,568        px=216778   reg=2:1511fa5e
review-transaction/warnings-armed  720x720   e2b56172e15d4b80 ink=0,0,720,696         px=377893   reg=3:cc6cd390
review-transaction/warnings-armed  720x1280  1a196b4f16fedf93 ink=0,0,720,1256        px=390586   reg=3:58bf973e
review-transaction/warnings-armed  800x480   96806cd27b314dc4 ink=0,0,800,454         px=265176   reg=3:f8b3e825
review-transaction/warnings-armed  800x1280  18030b2552b5a232 ink=0,0,800,1254        px=401330   reg=3:913b28b9
review-transaction/warnings-armed  1024x600  b7e3aeca6bc2f35c ink=0,0,1024,568        px=433722   reg=3:1acf34a0
review-transaction/warnings-gated  720x720   c853af6ed90e2638 ink=0,0,720,696         px=351701   reg=2:35101347
review-transaction/warnings-gated  720x1280  8aa3d6d77d17722b ink=0,0,720,1256        px=371178   reg=2:f0c599a6
review-transaction/warnings-gated  800x480   f7f83215bc446d4f ink=0,0,800,454         px=235480   reg=2:2d513d04
review-transaction/warnings-gated  800x1280  f019300dbb703282 ink=0,0,800,1254        px=378426   reg=2:b4e0d866
review-transaction/warnings-gated  1024x600  8ee641487f90c551 ink=0,0,1024,568        px=394274   reg=2:7acd30fd
scanning-flash/progress            720x720   f62d529459c5db84 ink=0,0,720,518         px=224928   reg=0:e3b0c442
scanning-flash/progress            720x1280  896e0c4df4819c5d ink=0,0,720,802         px=230688   reg=0:e3b0c442
scanning-flash/progress            800x480   53fe2502b0cc07a6 ink=0,0,800,392         px=241192   reg=0:e3b0c442
scanning-flash/progress            800x1280  d0d13ee74257b314 ink=0,0,800,804         px=260392   reg=0:e3b0c442
scanning-flash/progress            1024x600  d5eabdbcfbee6c42 ink=0,0,1024,459        px=325824   reg=0:e3b0c442
schemes/bip44                      720x720   0529ba0a28a0fb58 ink=0,0,720,696         px=149357   reg=8:3488905a
schemes/bip44                      720x1280  ec73880305b378a6 ink=0,0,720,1110        px=192495   reg=11:05baa9d5
schemes/bip44                      800x480   64c46d2e255b30aa ink=0,0,800,454         px=126112   reg=6:f1fc08ca
schemes/bip44                      800x1280  5de7aa355112023b ink=0,0,800,910         px=203791   reg=11:9aae80d3
schemes/bip44                      1024x600  0a7a64f5c77c9830 ink=0,0,1024,568        px=166168   reg=7:e6b82713
schemes/bip84                      720x720   5a9b8e270391d960 ink=0,0,720,692         px=151079   reg=7:6066472e
schemes/bip84                      720x1280  d601aa6662820709 ink=0,0,720,1256        px=216138   reg=12:140ad5ad
schemes/bip84                      800x480   be2707b660ce465a ink=0,0,800,454         px=130012   reg=6:f1fc08ca
schemes/bip84                      800x1280  ad049c3db1973cdc ink=0,0,800,1242        px=231160   reg=12:252b0c60
schemes/bip84                      1024x600  352a69478bf159f7 ink=0,0,1024,567        px=174086   reg=7:a1dbd621
schemes/exit-modal                 720x720   ca90a803e62d55ba ink=0,0,720,692         px=335628   reg=2:4a60a3b4
schemes/exit-modal                 720x1280  3e18066e812164a5 ink=0,0,720,1256        px=402167   reg=2:620707e3
schemes/exit-modal                 800x480   a301c186f695490a ink=0,0,800,454         px=290239   reg=2:83d302c8
schemes/exit-modal                 800x1280  329451b5e5e706ea ink=0,0,800,1242        px=427533   reg=2:0a5020e4
schemes/exit-modal                 1024x600  f09356d41efb461d ink=0,0,1024,567        px=369399   reg=2:a91e6b14
schemes/qr                         720x720   9bb106cb0a53731b ink=0,0,720,696         px=471552   reg=1:0dd9cf20
schemes/qr                         720x1280  5e167635010f7f64 ink=0,0,720,1256        px=848256   reg=1:d53ca4bf
schemes/qr                         800x480   591704e085036c69 ink=0,0,800,454         px=342920   reg=1:87fe744b
schemes/qr                         800x1280  0823a672c8e9b73f ink=0,0,800,1254        px=942568   reg=1:7acc6633
schemes/qr                         1024x600  f9da187d3e019a4c ink=0,0,1024,568        px=549504   reg=1:ade1af26
settings/default                   720x720   8796063286e264df ink=0,0,720,696         px=294144   reg=6:c07b1b1d
settings/default                   720x1280  e0ec3bfc6cf9af18 ink=0,0,720,1256        px=299904   reg=6:9b57b53d
settings/default                   800x480   516a150f72331b22 ink=0,0,800,454         px=251519   reg=5:55d862bd
settings/default                   800x1280  6a224cfc10b6ab65 ink=0,0,800,1254        px=333696   reg=6:2d51b5de
settings/default                   1024x600  616f7c1b6f494aeb ink=0,0,1024,568        px=405504   reg=6:290ebb07
settings/network-testnet           720x720   861e53af3dc89308 ink=0,0,720,696         px=294144   reg=6:c07b1b1d
settings/network-testnet           720x1280  f20f487d224158c1 ink=0,0,720,1256        px=299904   reg=6:9b57b53d
settings/network-testnet           800x480   8d408045256a485e ink=0,0,800,454         px=251519   reg=5:55d862bd
settings/network-testnet           800x1280  c3f0ddfcafca63a1 ink=0,0,800,1254        px=333696   reg=6:2d51b5de
settings/network-testnet           1024x600  bbb1262cce58de1b ink=0,0,1024,568        px=405504   reg=6:290ebb07
settings/remove-pin-consequence    720x720   f74ebf1e3f9fc8ed ink=24,24,672,672       px=88610    reg=2:62bf605c
settings/remove-pin-consequence    720x1280  4936c521a7b31fd0 ink=24,24,672,1232      px=88610    reg=2:e2c0bcb7
settings/remove-pin-consequence    800x480   67b0ed732a5961f4 ink=26,26,748,428       px=88538    reg=2:411b7766
settings/remove-pin-consequence    800x1280  5015830b93388455 ink=26,26,748,1228      px=93018    reg=2:3aadd1ef
settings/remove-pin-consequence    1024x600  dcf7a997b38064b3 ink=32,32,960,536       px=101394   reg=2:1b96ef90
settings/remove-pin-typed          720x720   a09fa407f2e058f1 ink=24,24,672,672       px=227436   reg=33:5268fec1
settings/remove-pin-typed          720x1280  981964701bff91a0 ink=24,24,672,1232      px=258712   reg=33:72ddb01c
settings/remove-pin-typed          800x480   e2b7f93dbd4dc66a ink=26,26,748,428       px=151716   reg=33:4e70f085
settings/remove-pin-typed          800x1280  a0efcc462627a32c ink=26,26,748,1228      px=286192   reg=33:e1870708
settings/remove-pin-typed          1024x600  99fdffd0ee257efa ink=32,32,960,536       px=178302   reg=33:b8d13564
sign-source/empty                  720x720   b71f44d4ecee18cc ink=0,0,720,672         px=423168   reg=3:a15f88cc
sign-source/empty                  720x1280  7c01a79d324f8cd6 ink=0,0,720,696         px=439680   reg=3:7bd8e36e
sign-source/empty                  800x480   aadd73db612cd905 ink=0,0,800,417         px=283457   reg=3:c1ef4b67
sign-source/empty                  800x1280  ffb006213eb9ab87 ink=0,0,800,658         px=457864   reg=3:a64cd4ff
sign-source/empty                  1024x600  6a115213aeeb3ee1 ink=0,0,1024,480        px=350784   reg=3:47f91abf
sign-source/no-card                720x720   095886e1eba2d232 ink=0,0,720,538         px=341184   reg=2:6cacb1c6
sign-source/no-card                720x1280  469feece56e3197e ink=0,0,720,554         px=352320   reg=2:7a9761d4
sign-source/no-card                800x480   2067aa659300fa4a ink=0,0,800,395         px=262114   reg=2:68f7c0a9
sign-source/no-card                800x1280  7d88b07e04a20f82 ink=0,0,800,515         px=360624   reg=2:a51a7ace
sign-source/no-card                1024x600  28806463eb468c21 ink=0,0,1024,356        px=299808   reg=2:7e93b68a
sign-source/ready                  720x720   183abc201ef9f410 ink=0,0,720,574         px=365376   reg=3:2d53fbe1
sign-source/ready                  720x1280  b4334d47b8c66293 ink=0,0,720,590         px=376512   reg=3:753cc602
sign-source/ready                  800x480   a089389f874a04de ink=0,0,800,395         px=275362   reg=3:060c0922
sign-source/ready                  800x1280  da254487b972553f ink=0,0,800,551         px=387552   reg=3:2e81d70b
sign-source/ready                  1024x600  f2257d434c919f4e ink=0,0,1024,392        px=316800   reg=3:1dd37097
sign-source/unreadable             720x720   221ac6ca12936e0d ink=0,0,720,646         px=413760   reg=2:d0ce0c59
sign-source/unreadable             720x1280  ba93a4523f4d01b7 ink=0,0,720,662         px=424896   reg=2:7b1c115b
sign-source/unreadable             800x480   e7259e40cf1ed10a ink=0,0,800,424         px=290817   reg=2:bd0d1474
sign-source/unreadable             800x1280  bb0d3a14f80850d4 ink=0,0,800,623         px=441408   reg=2:5e5c6eb3
sign-source/unreadable             1024x600  a93e518900939321 ink=0,0,1024,494        px=364944   reg=2:517577b8
signing/signing                    720x720   848d607562f135ed ink=0,0,720,508         px=210816   reg=0:e3b0c442
signing/signing                    720x1280  c462f6eaa14188eb ink=0,0,720,792         px=216576   reg=0:e3b0c442
signing/signing                    800x480   e4da71b59f70d80f ink=0,0,800,382         px=225484   reg=0:e3b0c442
signing/signing                    800x1280  cc0b9fc5dd04bef2 ink=0,0,800,794         px=244684   reg=0:e3b0c442
signing/signing                    1024x600  0cd5e7738960bcb3 ink=0,0,1024,449        px=305664   reg=0:e3b0c442
verify-device/acknowledge          720x720   58a056959bc6a83e ink=0,0,720,696         px=206554   reg=5:24350456
verify-device/acknowledge          720x1280  5e3239b1cd03296d ink=0,0,720,1256        px=245123   reg=5:7265e1f1
verify-device/acknowledge          800x480   aeefac3e9e53d05d ink=0,0,800,454         px=187960   reg=5:fd6758ac
verify-device/acknowledge          800x1280  0c0956f9fabedd8d ink=0,0,800,1254        px=257324   reg=5:0d48d89d
verify-device/acknowledge          1024x600  7336092ba767a640 ink=0,0,1024,568        px=236836   reg=5:d1f273d5
verify-device/digests              720x720   e1682fe1ffad59c3 ink=0,0,720,696         px=113765   reg=3:7c63eb82
verify-device/digests              720x1280  a8638d3a0184be0d ink=0,0,720,1256        px=180383   reg=3:5165931d
verify-device/digests              800x480   626ba308b3ed9416 ink=0,0,800,454         px=90519    reg=3:f4c89aed
verify-device/digests              800x1280  056258fabc298710 ink=0,0,800,1254        px=188259   reg=3:f6c053e6
verify-device/digests              1024x600  a099ec328bb1ff68 ink=0,0,1024,568        px=113854   reg=3:8c8a8ec3
verify-device/pre-pin              720x720   cb7efb2e0b7625a0 ink=0,0,720,696         px=96111    reg=2:1fad23b5
verify-device/pre-pin              720x1280  6bb2e0296caf34d6 ink=0,0,720,1256        px=132655   reg=2:03db218d
verify-device/pre-pin              800x480   8a22b365ccfb580e ink=0,0,800,454         px=77258    reg=2:d84922b9
verify-device/pre-pin              800x1280  4f2efe35f40ecba6 ink=0,0,800,1254        px=138794   reg=2:87aa54ed
verify-device/pre-pin              1024x600  46eb0abea5b2e383 ink=0,0,1024,568        px=99980    reg=2:022dedb4
verify-device/reserved-space       720x720   323aee8916e2aa64 ink=0,0,720,696         px=131458   reg=5:eec2749a
verify-device/reserved-space       720x1280  e020d929a8251141 ink=0,0,720,1256        px=180739   reg=5:005f9404
verify-device/reserved-space       800x480   d4b38827be22a8a9 ink=0,0,800,454         px=106995   reg=5:e1db6450
verify-device/reserved-space       800x1280  43b943e77331c287 ink=0,0,800,1254        px=187185   reg=5:26d0712c
verify-device/reserved-space       1024x600  b2ec2c7f27146894 ink=0,0,1024,568        px=129475   reg=5:718b336e
verify-device/unlocked             720x720   010a3de275616506 ink=0,0,720,696         px=97006    reg=3:10b33e15
verify-device/unlocked             720x1280  ecd10a040274b02d ink=0,0,720,1256        px=130651   reg=3:97b5f308
verify-device/unlocked             800x480   d9ef71eb64fa3dc1 ink=0,0,800,454         px=76702    reg=3:88912b22
verify-device/unlocked             800x1280  c6d312db726aa406 ink=0,0,800,1254        px=138109   reg=3:bfcc0387
verify-device/unlocked             1024x600  3c92f75a74a21769 ink=0,0,1024,568        px=98323    reg=3:513066b9
wallet-home/delete-consequence     720x720   6185c93a4918f9a7 ink=24,24,672,672       px=72516    reg=2:62bf605c
wallet-home/delete-consequence     720x1280  c92bfd97f49f6eb4 ink=24,24,672,1232      px=72516    reg=2:e2c0bcb7
wallet-home/delete-consequence     800x480   3de77e025a72ef47 ink=26,26,748,428       px=72444    reg=2:411b7766
wallet-home/delete-consequence     800x1280  ece889de9a3bbc09 ink=26,26,748,1228      px=76924    reg=2:3aadd1ef
wallet-home/delete-consequence     1024x600  ddfda9a4a24ad419 ink=32,32,960,536       px=85300    reg=2:1b96ef90
wallet-home/delete-typed-name      720x720   6c997d15e7f8aa3a ink=24,24,672,672       px=222723   reg=33:22cb1018
wallet-home/delete-typed-name      720x1280  330ece7e898cabbe ink=24,24,672,1232      px=253999   reg=33:5a253094
wallet-home/delete-typed-name      800x480   7e33d2ffe62ef2c3 ink=26,26,748,428       px=146608   reg=33:48507375
wallet-home/delete-typed-name      800x1280  9e0ac630814b0cad ink=26,26,748,1228      px=281479   reg=33:620c907f
wallet-home/delete-typed-name      1024x600  5b676d2828d161ba ink=32,32,960,536       px=174345   reg=33:91eb7984
wallet-home/session                720x720   0da7ca22c7480329 ink=0,0,720,514         px=278120   reg=2:0ed177d4
wallet-home/session                720x1280  446885e0b3ea6376 ink=0,0,720,522         px=283880   reg=2:cddd7a9c
wallet-home/session                800x480   430b3dd40d62b669 ink=0,0,800,454         px=260428   reg=2:9ce65a90
wallet-home/session                800x1280  826cbeb7fba24946 ink=0,0,800,525         px=314784   reg=2:802b4d1a
wallet-home/session                1024x600  ac351811691b5862 ink=0,0,1024,512        px=378536   reg=2:9f61f60b
wallet-home/stored                 720x720   1779c53e1cca9d98 ink=0,0,720,570         px=362688   reg=4:4e27e76c
wallet-home/stored                 720x1280  9310a73fa85e3819 ink=0,0,720,578         px=368448   reg=4:9dacddbb
wallet-home/stored                 800x480   8638b912e7d3a331 ink=0,0,800,453         px=313000   reg=4:26ca1c4a
wallet-home/stored                 800x1280  b8f134d3dab52cef ink=0,0,800,581         px=409992   reg=4:f89c7986
wallet-home/stored                 1024x600  b3ae18b56115ecb1 ink=0,0,1024,568        px=503424   reg=4:d76e6c71
wallet-home/stored-with-keys       720x720   9140a7a65db33e3f ink=0,0,720,694         px=429888   reg=6:b7d04ec7
wallet-home/stored-with-keys       720x1280  2e7e57f723df412b ink=0,0,720,882         px=556608   reg=6:6ad9bbcd
wallet-home/stored-with-keys       800x480   7d56bf88eedfcb03 ink=0,0,800,453         px=310536   reg=6:8697ed99
